,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Cluster
29,1,0,0,1,0.225352113,1,0,0,0,0,0,1,1,1,0.462189055,0.123967228,1,1,0,0,1,0,0,0,0,0,1,3
30,1,1,1,0,0.985915493,1,1,1,1,1,1,0,0,1,0.777114428,0.778692592,0,0,1,0,0,0,1,0,1,0,0,2
31,0,1,1,0,0.014084507,1,0,0,0,1,0,1,1,1,0.768656716,0.01879183,0,0,1,0,1,0,0,0,1,0,0,0
32,1,0,1,1,0.366197183,1,0,1,1,1,1,0,0,0,0.476616915,0.214129933,0,1,0,0,0,1,0,0,0,0,1,3
33,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.019402985,0.000161551,0,0,0,1,1,0,0,1,0,0,0,1
34,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.268656716,0.003052158,0,1,0,0,1,0,0,1,0,0,0,3
35,1,0,1,1,1.0,1,1,1,1,0,1,1,0,0,0.812437811,0.834629587,0,0,1,0,0,0,1,1,0,0,0,2
36,0,0,0,0,0.056338028,1,0,0,0,0,0,0,0,1,0.511940299,0.0343988,1,0,1,0,1,0,0,0,0,1,0,0
37,1,0,0,0,0.633802817,1,0,0,0,1,0,0,0,1,0.562686567,0.407281329,0,0,1,0,1,0,0,0,1,0,0,0
38,0,0,0,0,0.464788732,1,1,0,1,1,0,1,1,1,0.876616915,0.407390953,1,0,1,0,1,0,0,0,0,1,0,0
39,1,0,0,0,0.14084507,1,1,0,0,1,0,1,1,1,0.792039801,0.125386568,1,0,1,0,1,0,0,1,0,0,0,0
40,0,0,1,1,0.126760563,1,0,0,1,0,0,0,0,0,0.311442786,0.052723286,0,1,0,0,0,1,0,0,0,0,1,3
41,1,0,1,1,0.971830986,1,1,1,1,0,0,1,0,1,0.506965174,0.560068082,0,1,0,0,0,0,1,0,1,0,0,2
42,1,0,1,1,0.225352113,1,0,0,0,0,0,0,0,0,0.024875622,0.04609393,0,0,0,1,0,1,0,0,0,0,1,1
43,1,0,0,0,0.873239437,1,1,1,1,1,1,1,0,1,0.612935323,0.558810293,0,1,0,0,0,0,1,0,1,0,0,2
44,1,0,1,0,0.169014085,1,1,1,1,0,1,1,0,1,0.576616915,0.111083545,0,1,0,0,1,0,0,0,0,1,0,3
45,1,0,0,0,0.676056338,1,1,0,0,0,0,0,1,1,0.65920398,0.448638357,0,0,1,0,1,0,0,0,0,1,0,0
46,0,0,0,0,0.014084507,1,0,0,1,0,0,0,0,0,0.308457711,0.009023771,0,1,0,0,1,0,0,0,0,0,1,3
47,1,0,0,0,0.014084507,1,0,0,0,0,0,1,0,1,0.620895522,0.014464574,1,0,1,0,1,0,0,0,0,1,0,0
48,0,0,0,0,0.718309859,1,1,1,0,0,1,1,1,1,0.611940299,0.484537272,0,1,0,0,0,0,1,0,1,0,0,2
49,1,0,1,1,0.957746479,1,1,1,0,1,1,0,0,1,0.456716418,0.488726056,0,1,0,0,0,0,1,0,1,0,0,2
50,1,1,0,0,0.591549296,1,1,0,1,0,0,1,0,1,0.71641791,0.440797369,0,0,1,0,1,0,0,0,0,1,0,0
51,1,0,0,0,0.197183099,1,0,1,1,0,0,1,1,1,0.804477612,0.162427879,1,0,1,0,1,0,0,0,1,0,0,0
52,1,1,1,0,0.338028169,1,1,1,0,0,1,1,0,1,0.509950249,0.200075006,0,1,0,0,1,0,0,0,1,0,0,3
53,1,1,1,0,0.098591549,1,1,0,1,0,0,0,0,1,0.620895522,0.070909301,1,0,1,0,1,0,0,0,1,0,0,0
54,1,1,1,1,0.830985915,1,0,1,1,1,1,0,1,1,0.56318408,0.51206439,0,1,0,0,0,1,0,0,1,0,0,2
55,0,1,0,0,0.23943662,1,1,0,0,0,0,1,1,1,0.768159204,0.200063466,1,0,1,0,1,0,0,0,0,1,0,0
56,1,0,1,1,0.873239437,1,1,1,0,0,0,1,1,1,0.809950249,0.726102008,0,0,1,0,0,1,0,0,1,0,0,2
57,0,1,1,1,0.915492958,1,1,0,1,1,1,1,1,1,0.897512438,0.814395338,0,0,1,0,0,1,0,0,0,1,0,2
58,1,0,1,1,0.464788732,1,1,0,0,0,0,0,0,0,0.066666667,0.101027002,0,0,0,1,0,0,1,0,1,0,0,1
59,1,0,0,0,1.0,1,1,0,0,1,1,1,1,1,0.888059701,0.904096469,0,0,1,0,0,0,1,0,1,0,0,2
60,1,0,1,0,0.647887324,1,1,0,0,1,0,1,1,1,0.81840796,0.540999308,0,0,1,0,1,0,0,0,0,1,0,0
61,0,0,0,0,0.830985915,1,1,0,1,0,0,1,0,1,0.712935323,0.626805908,0,0,1,0,1,0,0,1,0,0,0,0
62,0,0,1,0,1.0,0,0,1,1,1,0,0,0,0,0.237313433,0.339626125,0,1,0,0,0,0,1,1,0,0,0,3
63,1,0,1,1,0.23943662,1,0,0,0,1,1,0,0,1,0.359701493,0.108273713,0,1,0,0,0,1,0,0,1,0,0,3
64,1,0,0,0,0.112676056,1,1,0,0,0,0,1,1,0,0.757711443,0.096751673,1,0,1,0,1,0,0,0,0,1,0,0
65,1,0,0,0,0.028169014,1,0,0,1,0,1,1,1,1,0.567661692,0.025998154,0,1,0,0,1,0,0,0,0,1,0,3
66,0,0,1,0,0.647887324,1,1,0,1,0,0,0,0,1,0.603482587,0.419057235,0,0,1,0,0,1,0,0,0,1,0,0
67,1,0,0,0,0.422535211,1,0,0,1,1,1,1,1,0,0.606467662,0.28599123,0,1,0,0,0,0,1,0,0,0,1,2
68,1,0,1,1,0.690140845,1,0,0,0,0,0,0,0,0,0.018905473,0.105250404,0,0,0,1,0,0,1,1,0,0,0,1
69,0,0,0,0,0.126760563,1,0,1,0,1,0,0,0,1,0.612935323,0.100225017,0,0,1,0,1,0,0,0,0,0,1,0
70,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0.306467662,0.003490653,0,1,0,0,1,0,0,0,0,0,1,3
71,1,0,1,1,0.718309859,1,0,0,0,0,0,0,0,1,0.021393035,0.123684514,0,0,0,1,0,1,0,0,0,1,0,1
72,0,1,1,1,0.887323944,1,1,1,0,1,1,1,1,1,0.928855721,0.817009001,0,0,1,0,0,0,1,1,0,0,0,2
73,0,0,1,1,0.85915493,1,1,0,0,0,0,0,0,1,0.059701493,0.162220171,0,0,0,1,0,0,1,1,0,0,0,1
74,1,0,0,1,0.028169014,1,0,1,0,0,1,0,1,1,0.460199005,0.018301408,0,1,0,0,1,0,0,1,0,0,0,3
75,1,1,0,0,0.774647887,1,1,1,1,1,0,1,1,0,0.917910448,0.706288945,0,0,1,0,0,1,0,0,0,1,0,2
76,1,0,0,0,0.633802817,1,0,0,0,0,0,0,1,0,0.372139303,0.308106393,0,1,0,0,0,1,0,0,1,0,0,3
77,1,0,1,1,0.098591549,1,0,1,1,0,0,0,0,0,0.362189055,0.053479114,0,1,0,0,1,0,0,0,0,0,1,3
78,0,1,0,0,0.408450704,1,0,1,1,0,0,1,1,1,0.562189055,0.241460882,0,1,0,0,1,0,0,0,0,1,0,3
79,1,0,1,1,0.61971831,1,1,0,0,0,0,0,0,1,0.076119403,0.138218324,0,0,0,1,0,1,0,0,1,0,0,1
80,1,0,0,1,0.0,1,0,0,0,0,0,1,0,1,0.607960199,0.006987076,1,0,1,0,1,0,0,0,0,1,0,0
81,1,0,1,1,0.14084507,0,0,1,0,0,0,1,1,0,0.321393035,0.063068313,0,1,0,0,1,0,0,0,0,1,0,3
82,1,0,1,0,0.084507042,1,0,0,0,1,0,0,0,1,0.566169154,0.055169628,1,0,1,0,1,0,0,1,0,0,0,0
83,1,0,0,0,0.577464789,1,0,0,1,1,1,1,1,1,0.851243781,0.497195938,0,0,1,0,1,0,0,1,0,0,0,2
84,1,0,1,0,0.676056338,1,0,0,0,0,0,0,0,1,0.018905473,0.110148858,0,0,0,1,0,0,1,1,0,0,0,1
85,0,0,0,0,0.112676056,1,1,0,1,0,0,1,1,1,0.806467662,0.103848373,0,0,1,0,1,0,0,0,1,0,0,0
86,1,0,1,0,0.478873239,1,0,1,0,0,0,1,0,1,0.43681592,0.253479114,0,1,0,0,0,1,0,1,0,0,0,3
87,1,0,1,1,0.661971831,1,0,0,0,0,0,0,0,0,0.023880597,0.119801523,0,0,0,1,0,0,1,1,0,0,0,1
88,1,0,1,1,0.633802817,1,0,0,0,0,0,0,0,1,0.016915423,0.104811909,0,0,0,1,0,0,1,0,0,0,1,1
89,0,0,1,0,0.394366197,0,0,0,0,0,0,1,0,0,0.154228856,0.114291484,0,1,0,0,1,0,0,0,0,0,1,3
90,0,0,1,1,0.408450704,1,0,0,1,1,0,0,0,0,0.634825871,0.294414955,0,0,1,0,1,0,0,1,0,0,0,0
91,0,1,0,0,0.0,1,0,0,0,0,1,0,0,0,0.561691542,0.006450496,0,0,1,0,1,0,0,0,0,1,0,0
92,0,0,1,1,0.915492958,1,1,1,0,1,1,1,1,1,0.654228856,0.657217863,0,1,0,0,0,0,1,0,0,0,1,2
93,1,0,0,0,0.901408451,1,1,1,1,1,0,1,1,1,0.923383085,0.817932149,0,0,1,0,1,0,0,0,1,0,0,2
94,0,0,0,0,1.0,1,1,0,1,1,0,1,1,1,0.82238806,0.858556427,0,0,1,0,0,0,1,1,0,0,0,2
95,1,0,0,0,0.154929577,1,1,1,0,0,0,0,0,1,0.6039801,0.104840757,1,0,1,0,1,0,0,0,0,1,0,0
96,0,0,1,1,0.985915493,1,1,1,1,0,1,0,0,1,0.48358209,0.545799677,0,1,0,0,0,1,0,0,1,0,0,2
97,0,0,0,0,0.056338028,1,0,0,0,0,0,0,0,0,0.027860697,0.010968151,1,0,0,1,1,0,0,0,0,0,1,1
98,0,0,0,0,0.718309859,1,0,0,0,0,0,0,0,0,0.027363184,0.125594276,0,0,0,1,0,0,1,1,0,0,0,1
99,1,1,1,0,0.338028169,1,0,0,1,1,0,1,1,1,0.798507463,0.287987538,1,0,1,0,1,0,0,0,0,1,0,0
100,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.019402985,0.000161551,0,0,0,1,1,0,0,0,0,0,1,1
101,1,0,1,1,0.0,1,0,0,0,0,0,0,0,0,0.011940299,7.5e-05,0,0,0,1,1,0,0,0,0,1,0,1
102,0,0,0,0,0.521126761,1,1,0,0,1,1,1,0,0,0.763681592,0.413893376,0,0,1,0,0,1,0,1,0,0,0,2
103,1,1,1,0,0.915492958,0,0,0,1,1,0,1,0,0,0.271641791,0.34715555,0,1,0,0,0,1,0,1,0,0,0,3
104,0,0,1,0,0.943661972,1,1,0,1,1,1,1,1,1,0.912935323,0.876188553,1,0,1,0,0,0,1,1,0,0,0,2
105,0,0,0,0,0.056338028,0,0,0,0,0,0,0,0,0,0.060199005,0.00939303,0,1,0,0,1,0,0,0,0,0,1,3
106,1,0,1,1,1.0,1,1,1,1,0,0,1,1,1,0.854726368,0.840555043,0,0,1,0,0,1,0,0,0,1,0,2
107,1,0,0,0,0.436619718,0,0,1,0,0,0,0,0,0,0.11840796,0.104875375,0,1,0,0,0,1,0,0,0,0,1,3
108,0,0,0,0,0.591549296,1,1,0,0,0,0,1,1,0,0.75721393,0.450323102,0,0,1,0,0,1,0,0,0,0,1,2
109,0,0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.011442786,0.15514078,0,0,0,1,0,0,1,0,1,0,0,1
110,0,0,1,0,0.76056338,1,1,1,1,0,0,1,0,1,0.781094527,0.602365567,1,0,1,0,1,0,0,0,0,1,0,0
111,1,0,0,0,0.718309859,1,0,1,0,1,1,0,0,0,0.395024876,0.348886453,0,1,0,0,0,1,0,0,1,0,0,3
112,1,0,0,0,0.591549296,1,0,0,1,1,0,1,0,1,0.730348259,0.454108008,0,0,1,0,1,0,0,0,0,1,0,0
113,1,1,1,0,0.507042254,1,1,0,0,0,0,0,0,1,0.57960199,0.328796446,1,0,1,0,1,0,0,0,0,1,0,0
114,1,0,1,1,0.887323944,0,0,0,1,0,1,1,1,1,0.361691542,0.392880222,0,1,0,0,0,0,1,0,0,1,0,2
115,0,0,1,1,0.028169014,1,0,1,1,0,0,1,0,0,0.712437811,0.026494346,0,0,1,0,1,0,0,0,0,1,0,0
116,1,0,0,0,0.492957746,0,0,1,0,0,0,0,0,0,0.127363184,0.127804062,0,1,0,0,0,0,1,1,0,0,0,3
117,1,0,1,1,0.126760563,1,1,1,0,0,0,1,1,1,0.815920398,0.120684283,1,0,1,0,1,0,0,0,0,1,0,0
118,1,0,0,0,0.563380282,1,0,0,0,0,0,0,0,0,0.023880597,0.094201477,0,0,0,1,0,0,1,0,0,0,1,1
119,0,0,1,1,0.366197183,1,1,0,1,0,1,0,0,1,0.666169154,0.246111239,0,0,1,0,1,0,0,0,1,0,0,0
120,1,0,1,1,0.774647887,1,1,0,0,1,0,1,1,1,0.811442786,0.634277637,0,0,1,0,0,1,0,0,1,0,0,2
121,1,0,0,0,0.070422535,1,0,0,0,0,0,0,0,0,0.024378109,0.010841219,0,0,0,1,1,0,0,0,0,0,1,1
122,0,0,0,0,0.028169014,1,1,0,0,0,0,0,0,1,0.558706468,0.024319178,1,0,1,0,1,0,0,0,0,1,0,0
123,1,0,1,1,0.084507042,1,0,1,0,0,0,0,0,0,0.322885572,0.038258712,0,1,0,0,1,0,0,0,0,0,1,3
124,1,0,1,1,0.042253521,1,0,0,0,0,0,0,0,0,0.025870647,0.005088853,0,0,0,1,1,0,0,0,0,0,1,1
125,0,0,0,0,0.450704225,1,0,1,0,0,1,1,0,1,0.703482587,0.347201708,0,0,1,0,0,0,1,0,0,1,0,2
126,1,1,0,0,0.366197183,1,1,0,0,1,0,0,0,1,0.595024876,0.244253404,1,0,1,0,1,0,0,0,0,1,0,0
127,0,0,1,0,1.0,1,1,0,0,0,0,0,0,1,0.052736318,0.196763213,0,0,0,1,0,0,1,1,0,0,0,1
128,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.014925373,0.000109624,0,0,0,1,1,0,0,0,0,0,1,1
129,0,1,0,0,0.985915493,0,0,1,1,0,0,1,1,1,0.380099502,0.457714055,0,1,0,0,0,1,0,0,0,1,0,3
130,1,0,0,0,0.169014085,1,1,0,0,0,0,0,1,1,0.673631841,0.138108701,0,0,1,0,1,0,0,0,0,1,0,0
131,1,0,1,1,0.338028169,0,0,1,1,1,0,1,1,1,0.401492537,0.171226633,1,1,0,0,1,0,0,0,1,0,0,3
132,0,0,0,0,0.929577465,1,0,0,0,0,1,0,0,0,0.321393035,0.374024925,0,1,0,0,0,0,1,1,0,0,0,3
133,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0.171144279,0.001921302,1,1,0,0,1,0,0,0,0,1,0,3
134,0,0,0,0,0.014084507,1,0,0,0,0,0,0,0,0,0.259701493,0.007206324,1,1,0,0,1,0,0,0,0,1,0,3
135,1,0,0,0,0.591549296,1,1,0,0,0,0,0,0,1,0.074129353,0.134941149,0,0,0,1,0,0,1,0,1,0,0,1
136,1,0,0,0,0.309859155,1,0,1,0,0,0,0,0,1,0.564676617,0.203057928,0,0,1,0,1,0,0,1,0,0,0,0
137,1,0,1,1,0.887323944,1,0,0,0,0,0,0,0,0,0.019402985,0.145274637,0,0,0,1,0,0,1,0,0,0,1,1
138,0,0,0,1,0.788732394,1,0,0,0,0,0,0,0,1,0.013432836,0.132904454,0,0,0,1,0,0,1,0,0,0,1,1
139,1,1,1,0,0.0,1,0,0,0,0,0,0,0,1,0.519402985,0.005960074,1,0,1,0,1,0,0,0,0,0,1,0
140,1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,0.694527363,0.739308793,0,1,0,0,0,0,1,0,1,0,0,2
141,1,0,0,0,0.098591549,1,1,1,0,0,1,0,1,0,0.526368159,0.062872144,1,1,0,0,1,0,0,0,0,1,0,3
142,1,0,1,0,0.845070423,1,1,0,1,0,0,1,1,1,0.823880597,0.68687399,0,0,1,0,0,0,1,1,0,0,0,2
143,0,0,0,0,0.887323944,1,1,1,1,0,0,0,0,1,0.65721393,0.60815255,0,0,1,0,0,1,0,0,1,0,0,2
144,0,1,1,0,0.985915493,1,1,0,0,0,0,0,0,0,0.056716418,0.200484653,0,0,0,1,0,0,1,1,0,0,0,1
145,1,0,1,1,0.901408451,1,1,1,1,0,1,1,0,1,0.8039801,0.738276021,0,0,1,0,0,0,1,0,1,0,0,2
146,0,0,0,0,0.028169014,1,0,0,0,0,0,0,0,0,0.013432836,0.004909993,0,0,0,1,0,1,0,0,0,0,1,1
147,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0.272636816,0.003098315,1,1,0,0,1,0,0,0,0,1,0,3
148,0,0,0,1,0.408450704,1,0,0,1,1,0,1,0,0,0.460199005,0.220534272,0,1,0,0,0,1,0,0,1,0,0,3
149,0,0,1,1,0.197183099,1,0,0,1,1,1,0,1,1,0.509950249,0.121463189,0,1,0,0,1,0,0,0,0,0,1,3
150,1,0,1,1,0.098591549,1,0,0,0,0,1,1,1,1,0.500497512,0.062952919,0,1,0,0,1,0,0,0,0,1,0,3
151,0,0,0,0,0.084507042,1,1,0,0,0,0,1,1,0,0.763681592,0.073471036,1,0,1,0,1,0,0,0,0,0,1,0
152,1,0,1,1,0.971830986,1,1,1,1,1,0,1,1,1,0.894527363,0.912964459,0,0,1,0,0,1,0,0,1,0,0,2
153,0,0,1,1,0.85915493,1,0,1,1,1,1,1,1,0,0.675124378,0.599636511,0,1,0,0,0,0,1,0,0,1,0,2
154,1,0,1,1,0.070422535,1,0,0,0,0,0,0,0,0,0.014427861,0.010927764,0,0,0,1,1,0,0,0,0,0,1,1
155,1,0,1,1,0.183098592,1,0,0,0,0,0,0,1,1,0.623383085,0.13085622,0,0,1,0,1,0,0,1,0,0,0,0
156,1,0,0,0,0.295774648,1,1,0,0,0,0,1,0,1,0.655721393,0.208071775,0,0,1,0,1,0,0,1,0,0,0,0
157,0,0,1,1,0.295774648,1,0,0,0,0,0,0,0,0,0.018905473,0.04628433,0,0,0,1,0,1,0,0,0,0,1,1
158,0,0,1,1,0.211267606,1,0,1,0,1,0,1,0,0,0.457711443,0.115993538,0,1,0,0,0,0,1,0,0,0,1,3
159,0,0,0,0,0.126760563,1,1,0,0,0,0,0,0,0,0.074129353,0.026863605,0,0,0,1,0,0,1,1,0,0,0,1
160,1,0,0,1,0.169014085,1,0,1,1,0,0,0,0,1,0.375621891,0.086054697,0,1,0,0,1,0,0,0,0,1,0,3
161,1,0,1,0,0.267605634,1,1,1,0,0,0,0,0,0,0.638308458,0.181577429,1,0,1,0,1,0,0,0,0,1,0,0
162,1,0,0,0,0.014084507,1,0,0,0,0,0,0,0,1,0.511940299,0.013431802,0,0,1,0,1,0,0,0,0,1,0,0
163,0,0,0,0,0.732394366,1,1,0,1,1,1,0,1,1,0.553731343,0.454586891,0,1,0,0,0,0,1,1,0,0,0,2
164,1,0,1,1,0.14084507,1,0,0,0,0,0,0,0,0,0.023383085,0.02482114,0,0,0,1,0,1,0,0,0,0,1,1
165,0,0,1,0,0.957746479,1,0,0,0,0,0,0,0,0,0.01641791,0.155163859,0,0,0,1,0,0,1,0,0,0,1,1
166,1,0,0,0,0.042253521,1,0,0,0,0,0,0,0,1,0.523880597,0.029333026,1,0,1,0,1,0,0,1,0,0,0,0
167,0,0,1,0,1.0,1,1,1,1,1,1,1,1,1,0.704477612,0.719553427,0,1,0,0,0,0,1,1,0,0,0,2
168,0,1,1,0,0.802816901,0,0,0,1,1,0,0,1,1,0.269154229,0.303761828,1,1,0,0,1,0,0,0,0,1,0,3
169,1,0,1,1,0.211267606,1,0,0,0,0,0,0,0,0,0.021393035,0.034918071,0,0,0,1,1,0,0,0,0,1,0,1
170,0,0,1,0,0.591549296,1,0,1,0,1,1,0,0,1,0.656716418,0.406237018,0,0,1,0,0,1,0,1,0,0,0,2
171,1,0,1,0,0.014084507,1,1,0,0,1,1,1,1,1,0.85721393,0.025848142,1,0,1,0,1,0,0,0,0,1,0,0
172,0,0,1,0,0.183098592,1,0,0,1,1,1,1,1,0,0.633830846,0.134196861,0,1,0,0,0,0,1,0,0,0,1,2
173,1,0,1,0,0.732394366,1,0,0,0,1,0,1,1,1,0.762189055,0.57482114,1,0,1,0,0,1,0,1,0,0,0,2
174,1,0,0,0,0.436619718,1,0,0,0,0,0,0,0,0,0.022885572,0.073361412,0,0,0,1,0,1,0,1,0,0,0,1
175,1,0,1,0,0.464788732,1,1,0,0,0,0,0,0,0,0.064179104,0.087860605,0,0,0,1,1,0,0,0,0,1,0,1
176,1,1,0,0,0.197183099,1,1,0,0,0,0,0,0,1,0.55920398,0.130036926,1,0,1,0,1,0,0,0,0,0,1,0
177,1,1,0,0,0.084507042,1,0,1,0,0,0,0,0,0,0.579104478,0.055942765,1,0,1,0,1,0,0,1,0,0,0,0
178,1,0,1,1,0.197183099,1,1,0,1,1,0,1,1,1,0.866666667,0.177757904,0,0,1,0,1,0,0,1,0,0,0,0
179,0,0,1,0,0.845070423,1,0,0,0,0,0,0,0,1,0.022885572,0.142303254,0,0,0,1,0,1,0,0,1,0,0,1
180,1,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.11641791,0.001286637,1,1,0,0,1,0,0,1,0,0,0,3
181,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.269154229,0.003057928,0,1,0,0,1,0,0,0,0,0,1,3
182,0,0,0,0,0.098591549,1,1,0,0,0,0,0,1,0,0.65920398,0.0742961,1,0,1,0,1,0,0,1,0,0,0,0
183,0,0,1,1,0.450704225,1,0,1,0,1,0,1,1,0,0.562189055,0.280925456,0,1,0,0,0,1,0,0,1,0,0,2
184,1,0,0,0,0.169014085,1,0,0,1,1,0,0,0,1,0.606965174,0.126107778,1,0,1,0,1,0,0,0,0,1,0,0
185,1,0,1,0,0.0,0,0,0,0,0,0,0,0,1,0.065174129,0.000692361,1,1,0,0,1,0,0,0,0,1,0,3
186,0,0,0,0,0.267605634,1,0,0,1,0,0,0,0,1,0.333830846,0.115976229,0,1,0,0,1,0,0,0,0,0,1,3
187,0,0,0,0,0.028169014,0,0,0,0,0,1,0,0,0,0.120895522,0.007310178,0,1,0,0,1,0,0,0,0,1,0,3
188,1,0,0,0,0.169014085,1,0,0,0,0,0,0,0,0,0.013930348,0.026078929,0,0,0,1,0,1,0,0,0,1,0,1
189,1,0,1,0,0.549295775,1,1,0,1,0,0,0,0,0,0.38159204,0.272363259,0,1,0,0,1,0,0,0,1,0,0,3
190,0,0,1,1,0.591549296,1,1,1,0,0,1,0,1,1,0.533830846,0.36401454,0,1,0,0,0,1,0,0,1,0,0,2
191,0,0,1,0,0.070422535,1,0,0,1,1,0,0,1,1,0.723880597,0.059104547,1,0,1,0,1,0,0,0,0,1,0,0
192,1,0,1,1,0.957746479,1,0,0,0,0,0,0,0,0,0.014925373,0.156542811,0,0,0,1,0,0,1,1,0,0,0,1
193,1,0,1,1,1.0,1,1,1,1,1,0,1,1,0,0.909950249,0.935898915,0,0,1,0,0,0,1,0,1,0,0,2
